frame_id,source_index,source_label,total_people,queue_pairs,queue_detected,roi_Check-in,roi_Immigration,roi_Security Lane
333,0,File: 2025-11-27 18-27-45.mp4,21,7,True,2,3,8
334,0,File: 2025-11-27 18-27-45.mp4,20,7,True,2,3,7
335,0,File: 2025-11-27 18-27-45.mp4,20,7,True,2,3,7
336,0,File: 2025-11-27 18-27-45.mp4,20,6,True,2,3,7
337,0,File: 2025-11-27 18-27-45.mp4,21,7,True,2,3,8
338,0,File: 2025-11-27 18-27-45.mp4,21,6,True,2,3,8
339,0,File: 2025-11-27 18-27-45.mp4,21,8,True,2,3,8
340,0,File: 2025-11-27 18-27-45.mp4,22,9,True,2,3,7
341,0,File: 2025-11-27 18-27-45.mp4,22,9,True,2,3,7
342,0,File: 2025-11-27 18-27-45.mp4,22,11,True,2,3,5
343,0,File: 2025-11-27 18-27-45.mp4,22,10,True,2,3,5
344,0,File: 2025-11-27 18-27-45.mp4,22,9,True,2,3,5
345,0,File: 2025-11-27 18-27-45.mp4,23,10,True,2,3,5
346,0,File: 2025-11-27 18-27-45.mp4,22,8,True,2,3,5
347,0,File: 2025-11-27 18-27-45.mp4,22,9,True,2,3,5
348,0,File: 2025-11-27 18-27-45.mp4,21,8,True,2,3,5
349,0,File: 2025-11-27 18-27-45.mp4,21,8,True,2,3,5
350,0,File: 2025-11-27 18-27-45.mp4,21,9,True,2,3,6
351,0,File: 2025-11-27 18-27-45.mp4,18,5,True,2,2,5
352,0,File: 2025-11-27 18-27-45.mp4,18,5,True,2,2,5
353,0,File: 2025-11-27 18-27-45.mp4,19,6,True,1,2,5
354,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,5
355,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,5
356,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,5
357,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,5
358,0,File: 2025-11-27 18-27-45.mp4,18,4,False,1,1,5
359,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,5
360,0,File: 2025-11-27 18-27-45.mp4,18,5,True,1,1,6
